"Step","sgd - deltas.deltas.stage_3.4.conv_a"
"10","{""values"":[1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,4,1,1,2,2,5,2,4,2,2,3,2,5,0,2,1,2,3,2,1,0,1,2,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.03275200352072716,0.04022624302888289,0.047700482537038624,0.05517472204519436,0.06264896155335009,0.07012320106150582,0.07759744056966156,0.08507168007781729,0.09254591958597302,0.10002015909412876,0.10749439860228449,0.11496863811044022,0.12244287761859596,0.1299171171267517,0.13739135663490742,0.14486559614306316,0.1523398356512189,0.15981407515937462,0.16728831466753036,0.1747625541756861,0.18223679368384182,0.18971103319199756,0.1971852727001533,0.20465951220830902,0.21213375171646476,0.2196079912246205,0.22708223073277622,0.23455647024093196,0.2420307097490877,0.24950494925724342,0.25697918876539916,0.2644534282735549,0.2719276677817106,0.27940190728986636,0.2868761467980221,0.2943503863061778,0.30182462581433356,0.3092988653224893,0.316773104830645,0.32424734433880076,0.3317215838469565,0.3391958233551122,0.34667006286326796,0.3541443023714237,0.3616185418795794,0.36909278138773516,0.3765670208958909,0.3840412604040466,0.39151549991220236,0.3989897394203581,0.4064639789285138,0.41393821843666956,0.4214124579448253,0.428886697452981,0.43636093696113676,0.4438351764692925,0.4513094159774482,0.45878365548560396,0.4662578949937597,0.4737321345019154,0.48120637401007116,0.4886806135182269,0.4961548530263826,0.5036290925345384,0.5111033320426941]}"
"11","{""values"":[1,0,1,0,0,0,0,1,0,0,0,0,3,1,1,0,1,2,1,3,5,3,1,0,3,5,1,2,2,5,1,2,0,2,2,3,2,0,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.037393856793642044,0.046317761938553303,0.05524166708346456,0.06416557222837582,0.07308947737328708,0.08201338251819834,0.0909372876631096,0.09986119280802086,0.10878509795293212,0.11770900309784338,0.12663290824275464,0.1355568133876659,0.14448071853257716,0.15340462367748842,0.16232852882239968,0.17125243396731094,0.1801763391122222,0.18910024425713345,0.1980241494020447,0.20694805454695597,0.21587195969186723,0.2247958648367785,0.23371976998168975,0.242643675126601,0.25156758027151227,0.26049148541642353,0.2694153905613348,0.27833929570624605,0.2872632008511573,0.29618710599606857,0.3051110111409798,0.3140349162858911,0.32295882143080235,0.3318827265757136,0.34080663172062486,0.3497305368655361,0.3586544420104474,0.36757834715535864,0.3765022523002699,0.38542615744518116,0.3943500625900924,0.4032739677350037,0.41219787287991494,0.4211217780248262,0.43004568316973746,0.4389695883146487,0.44789349345956,0.45681739860447124,0.4657413037493825,0.47466520889429376,0.483589114039205,0.4925130191841163,0.5014369243290275,0.5103608294739388,0.51928473461885,0.5282086397637613,0.5371325449086726,0.5460564500535838,0.5549803551984951,0.5639042603434063,0.5728281654883176,0.5817520706332289,0.5906759757781401,0.5995998809230514,0.6085237860679626]}"
"12","{""values"":[1,1,0,0,0,0,0,0,1,1,0,0,1,1,3,0,0,0,0,1,1,1,0,1,1,0,0,1,0,5,1,0,5,1,2,2,1,3,3,1,0,4,2,6,1,2,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2],""_type"":""histogram"",""bins"":[0.034093789756298065,0.040009641204960644,0.04592549265362322,0.0518413441022858,0.05775719555094838,0.06367304699961096,0.06958889844827354,0.07550474989693612,0.0814206013455987,0.08733645279426128,0.09325230424292386,0.09916815569158643,0.10508400714024901,0.11099985858891159,0.11691571003757417,0.12283156148623675,0.12874741293489933,0.1346632643835619,0.1405791158322245,0.14649496728088707,0.15241081872954965,0.15832667017821223,0.1642425216268748,0.17015837307553738,0.17607422452419996,0.18199007597286254,0.18790592742152512,0.1938217788701877,0.19973763031885028,0.20565348176751286,0.21156933321617544,0.21748518466483802,0.2234010361135006,0.22931688756216317,0.23523273901082575,0.24114859045948833,0.2470644419081509,0.2529802933568135,0.25889614480547607,0.26481199625413865,0.2707278477028012,0.2766436991514638,0.2825595506001264,0.28847540204878896,0.29439125349745154,0.3003071049461141,0.3062229563947767,0.3121388078434393,0.31805465929210186,0.32397051074076444,0.329886362189427,0.3358022136380896,0.3417180650867522,0.34763391653541476,0.35354976798407733,0.3594656194327399,0.3653814708814025,0.37129732233006507,0.37721317377872765,0.38312902522739023,0.3890448766760528,0.3949607281247154,0.40087657957337797,0.40679243102204055,0.4127082824707031]}"
"13","{""_type"":""histogram"",""values"":[1,0,3,0,0,0,1,0,1,0,0,0,1,1,2,0,0,1,0,1,1,4,2,3,5,2,2,6,2,2,0,1,3,1,1,2,3,1,4,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[0.04393429309129715,0.051438085618428886,0.05894187814556062,0.06644567067269236,0.0739494631998241,0.08145325572695583,0.08895704825408757,0.0964608407812193,0.10396463330835104,0.11146842583548278,0.11897221836261451,0.12647601088974625,0.13397980341687799,0.14148359594400972,0.14898738847114146,0.1564911809982732,0.16399497352540493,0.17149876605253667,0.1790025585796684,0.18650635110680014,0.19401014363393188,0.2015139361610636,0.20901772868819535,0.21652152121532708,0.22402531374245882,0.23152910626959056,0.2390328987967223,0.24653669132385403,0.25404048385098577,0.2615442763781175,0.26904806890524924,0.276551861432381,0.2840556539595127,0.29155944648664445,0.2990632390137762,0.3065670315409079,0.31407082406803966,0.3215746165951714,0.32907840912230313,0.33658220164943486,0.3440859941765666,0.35158978670369834,0.3590935792308301,0.3665973717579618,0.37410116428509355,0.3816049568122253,0.389108749339357,0.39661254186648875,0.4041163343936205,0.4116201269207522,0.41912391944788396,0.4266277119750157,0.43413150450214744,0.4416352970292792,0.4491390895564109,0.45664288208354264,0.4641466746106744,0.4716504671378061,0.47915425966493785,0.4866580521920696,0.4941618447192013,0.5016656372463331,0.5091694297734648,0.5166732223005965,0.5241770148277283]}"
"14","{""_type"":""histogram"",""values"":[2,0,0,1,0,1,2,0,0,0,0,1,1,0,1,0,0,1,0,1,1,2,5,0,5,1,1,3,1,1,1,3,2,2,4,4,2,1,1,1,3,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1],""bins"":[0.0525520034134388,0.060513356409501284,0.06847470940556377,0.07643606240162626,0.08439741539768875,0.09235876839375123,0.10032012138981372,0.10828147438587621,0.1162428273819387,0.12420418037800118,0.13216553337406367,0.14012688637012616,0.14808823936618865,0.15604959236225113,0.16401094535831362,0.1719722983543761,0.1799336513504386,0.18789500434650108,0.19585635734256357,0.20381771033862606,0.21177906333468854,0.21974041633075103,0.22770176932681352,0.235663122322876,0.2436244753189385,0.251585828315001,0.25954718131106347,0.26750853430712596,0.27546988730318844,0.28343124029925093,0.2913925932953134,0.2993539462913759,0.3073152992874384,0.3152766522835009,0.32323800527956337,0.33119935827562585,0.33916071127168834,0.34712206426775083,0.3550834172638133,0.3630447702598758,0.3710061232559383,0.3789674762520008,0.38692882924806327,0.39489018224412575,0.40285153524018824,0.41081288823625073,0.4187742412323132,0.4267355942283757,0.4346969472244382,0.4426583002205007,0.45061965321656317,0.45858100621262565,0.46654235920868814,0.4745037122047506,0.4824650652008131,0.4904264181968756,0.4983877711929381,0.5063491241890006,0.5143104771850631,0.5222718301811256,0.530233183177188,0.5381945361732505,0.546155889169313,0.5541172421653755,0.562078595161438]}"
"15","{""values"":[2,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,2,1,1,2,0,1,4,6,1,2,3,1,2,1,4,3,4,3,2,1,1,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1],""_type"":""histogram"",""bins"":[0.048081446439027786,0.056705130438786,0.06532881443854421,0.07395249843830243,0.08257618243806064,0.09119986643781886,0.09982355043757707,0.10844723443733528,0.1170709184370935,0.1256946024368517,0.13431828643660992,0.14294197043636814,0.15156565443612635,0.16018933843588457,0.16881302243564278,0.177436706435401,0.1860603904351592,0.19468407443491742,0.20330775843467563,0.21193144243443385,0.22055512643419206,0.22917881043395028,0.2378024944337085,0.2464261784334667,0.2550498624332249,0.26367354643298313,0.27229723043274134,0.28092091443249956,0.28954459843225777,0.298168282432016,0.3067919664317742,0.3154156504315324,0.3240393344312906,0.33266301843104884,0.34128670243080705,0.34991038643056527,0.3585340704303235,0.3671577544300817,0.3757814384298399,0.3844051224295981,0.39302880642935634,0.40165249042911455,0.41027617442887276,0.418899858428631,0.4275235424283892,0.4361472264281474,0.4447709104279056,0.45339459442766383,0.46201827842742205,0.47064196242718026,0.4792656464269385,0.4878893304266967,0.4965130144264549,0.5051366984262131,0.5137603824259713,0.5223840664257295,0.5310077504254878,0.539631434425246,0.5482551184250042,0.5568788024247624,0.5655024864245206,0.5741261704242788,0.582749854424037,0.5913735384237953,0.5999972224235535]}"
"16","{""_type"":""histogram"",""values"":[1,0,1,0,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,1,1,2,2,1,3,1,1,1,0,3,3,2,0,1,0,4,2,1,1,1,3,2,4,0,1,2,1,2,2,1,2,0,1,0,0,0,1,2,0,0,0,0,0,1],""bins"":[0.029767168685793877,0.03637836713460274,0.042989565583411604,0.04960076403222047,0.05621196248102933,0.0628231609298382,0.06943435937864706,0.07604555782745592,0.08265675627626479,0.08926795472507365,0.09587915317388251,0.10249035162269138,0.10910155007150024,0.1157127485203091,0.12232394696911797,0.12893514541792683,0.1355463438667357,0.14215754231554456,0.14876874076435342,0.1553799392131623,0.16199113766197115,0.16860233611078002,0.17521353455958888,0.18182473300839774,0.1884359314572066,0.19504712990601547,0.20165832835482433,0.2082695268036332,0.21488072525244206,0.22149192370125093,0.2281031221500598,0.23471432059886865,0.24132551904767752,0.24793671749648638,0.25454791594529524,0.2611591143941041,0.26777031284291297,0.27438151129172184,0.2809927097405307,0.28760390818933956,0.2942151066381484,0.3008263050869573,0.30743750353576615,0.314048701984575,0.3206599004333839,0.32727109888219275,0.3338822973310016,0.3404934957798105,0.34710469422861934,0.3537158926774282,0.36032709112623706,0.36693828957504593,0.3735494880238548,0.38016068647266366,0.3867718849214725,0.3933830833702814,0.39999428181909025,0.4066054802678991,0.413216678716708,0.41982787716551684,0.4264390756143257,0.43305027406313457,0.43966147251194343,0.4462726709607523,0.45288386940956116]}"
"17","{""values"":[1,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,3,3,3,1,1,1,2,3,0,3,3,5,4,0,2,2,4,2,1,0,2,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1],""_type"":""histogram"",""bins"":[0.03879999369382858,0.04757687740493566,0.05635376111604273,0.06513064482714981,0.07390752853825688,0.08268441224936396,0.09146129596047103,0.10023817967157811,0.10901506338268518,0.11779194709379226,0.12656883080489933,0.1353457145160064,0.14412259822711349,0.15289948193822056,0.16167636564932764,0.1704532493604347,0.1792301330715418,0.18800701678264886,0.19678390049375594,0.205560784204863,0.2143376679159701,0.22311455162707716,0.23189143533818424,0.2406683190492913,0.2494452027603984,0.25822208647150546,0.26699897018261254,0.2757758538937196,0.2845527376048267,0.29332962131593376,0.30210650502704084,0.3108833887381479,0.319660272449255,0.32843715616036206,0.33721403987146914,0.3459909235825762,0.3547678072936833,0.36354469100479037,0.37232157471589744,0.3810984584270045,0.3898753421381116,0.39865222584921867,0.40742910956032574,0.4162059932714328,0.4249828769825399,0.43375976069364697,0.44253664440475404,0.4513135281158611,0.4600904118269682,0.46886729553807527,0.47764417924918234,0.4864210629602894,0.4951979466713965,0.5039748303825036,0.5127517140936106,0.5215285978047177,0.5303054815158248,0.5390823652269319,0.547859248938039,0.556636132649146,0.5654130163602531,0.5741899000713602,0.5829667837824672,0.5917436674935743,0.6005205512046814]}"
"18","{""values"":[1,1,0,0,0,1,0,0,0,0,2,3,1,2,1,2,1,0,0,3,1,1,1,4,1,5,3,0,3,2,2,2,5,0,3,0,1,4,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.036994919180870056,0.04671953269280493,0.05644414620473981,0.06616875971667469,0.07589337322860956,0.08561798674054444,0.09534260025247931,0.10506721376441419,0.11479182727634907,0.12451644078828394,0.13424105430021882,0.1439656678121537,0.15369028132408857,0.16341489483602345,0.17313950834795833,0.1828641218598932,0.19258873537182808,0.20231334888376296,0.21203796239569783,0.2217625759076327,0.23148718941956758,0.24121180293150246,0.25093641644343734,0.2606610299553722,0.2703856434673071,0.28011025697924197,0.28983487049117684,0.2995594840031117,0.3092840975150466,0.3190087110269815,0.32873332453891635,0.3384579380508512,0.3481825515627861,0.357907165074721,0.36763177858665586,0.37735639209859073,0.3870810056105256,0.3968056191224605,0.40653023263439536,0.41625484614633024,0.4259794596582651,0.4357040731702,0.44542868668213487,0.45515330019406974,0.4648779137060046,0.4746025272179395,0.4843271407298744,0.49405175424180925,0.5037763677537441,0.513500981265679,0.5232255947776139,0.5329502082895488,0.5426748218014836,0.5523994353134185,0.5621240488253534,0.5718486623372883,0.5815732758492231,0.591297889361158,0.6010225028730929,0.6107471163850278,0.6204717298969626,0.6301963434088975,0.6399209569208324,0.6496455704327673,0.6593701839447021]}"
"19","{""_type"":""histogram"",""values"":[1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,3,2,3,2,0,2,2,3,4,3,3,1,3,5,5,1,2,1,1,0,0,2,1,0,1,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[0.04867550730705261,0.05851740995422006,0.0683593126013875,0.07820121524855494,0.08804311789572239,0.09788502054288983,0.10772692319005728,0.11756882583722472,0.12741072848439217,0.1372526311315596,0.14709453377872705,0.1569364364258945,0.16677833907306194,0.1766202417202294,0.18646214436739683,0.19630404701456428,0.20614594966173172,0.21598785230889916,0.2258297549560666,0.23567165760323405,0.2455135602504015,0.25535546289756894,0.2651973655447364,0.27503926819190383,0.2848811708390713,0.2947230734862387,0.30456497613340616,0.3144068787805736,0.32424878142774105,0.3340906840749085,0.34393258672207594,0.3537744893692434,0.3636163920164108,0.37345829466357827,0.3833001973107457,0.39314209995791316,0.4029840026050806,0.41282590525224805,0.4226678078994155,0.43250971054658294,0.4423516131937504,0.4521935158409178,0.46203541848808527,0.4718773211352527,0.48171922378242016,0.4915611264295876,0.501403029076755,0.5112449317239225,0.5210868343710899,0.5309287370182574,0.5407706396654248,0.5506125423125923,0.5604544449597597,0.5702963476069272,0.5801382502540946,0.589980152901262,0.5998220555484295,0.6096639581955969,0.6195058608427644,0.6293477634899318,0.6391896661370993,0.6490315687842667,0.6588734714314342,0.6687153740786016,0.678557276725769]}"
"20","{""values"":[1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,2,2,2,1,0,3,5,1,1,1,1,2,4,2,1,0,0,4,2,2,1,1,3,4,2,1,1,0,0,2,0,0,0,2,0,1,0,2],""_type"":""histogram"",""bins"":[0.050223007798194885,0.05652677803300321,0.06283054826781154,0.06913431850261986,0.07543808873742819,0.08174185897223651,0.08804562920704484,0.09434939944185317,0.10065316967666149,0.10695693991146982,0.11326071014627814,0.11956448038108647,0.1258682506158948,0.13217202085070312,0.13847579108551145,0.14477956132031977,0.1510833315551281,0.15738710178993642,0.16369087202474475,0.16999464225955307,0.1762984124943614,0.18260218272916973,0.18890595296397805,0.19520972319878638,0.2015134934335947,0.20781726366840303,0.21412103390321136,0.22042480413801968,0.226728574372828,0.23303234460763633,0.23933611484244466,0.24563988507725298,0.2519436553120613,0.25824742554686964,0.26455119578167796,0.2708549660164863,0.2771587362512946,0.28346250648610294,0.28976627672091126,0.2960700469557196,0.3023738171905279,0.30867758742533624,0.31498135766014457,0.3212851278949529,0.3275888981297612,0.33389266836456954,0.34019643859937787,0.3465002088341862,0.3528039790689945,0.35910774930380285,0.3654115195386112,0.3717152897734195,0.3780190600082278,0.38432283024303615,0.3906266004778445,0.3969303707126528,0.40323414094746113,0.40953791118226945,0.4158416814170778,0.4221454516518861,0.42844922188669443,0.43475299212150276,0.4410567623563111,0.4473605325911194,0.45366430282592773]}"
"21","{""values"":[2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,2,1,1,1,0,2,2,1,5,1,2,2,5,1,3,3,2,0,5,1,1,2,4,0,1,0,0,1,2,1,0,0,0,1,0,1,1,1],""_type"":""histogram"",""bins"":[0.040752045810222626,0.04701041022781283,0.05326877464540303,0.05952713906299323,0.06578550348058343,0.07204386789817363,0.07830223231576383,0.08456059673335403,0.09081896115094423,0.09707732556853443,0.10333568998612463,0.10959405440371484,0.11585241882130504,0.12211078323889524,0.12836914765648544,0.13462751207407564,0.14088587649166584,0.14714424090925604,0.15340260532684624,0.15966096974443644,0.16591933416202664,0.17217769857961684,0.17843606299720705,0.18469442741479725,0.19095279183238745,0.19721115624997765,0.20346952066756785,0.20972788508515805,0.21598624950274825,0.22224461392033845,0.22850297833792865,0.23476134275551885,0.24101970717310905,0.24727807159069926,0.25353643600828946,0.25979480042587966,0.26605316484346986,0.27231152926106006,0.27856989367865026,0.28482825809624046,0.29108662251383066,0.29734498693142086,0.30360335134901106,0.30986171576660126,0.31612008018419147,0.32237844460178167,0.32863680901937187,0.33489517343696207,0.34115353785455227,0.34741190227214247,0.35367026668973267,0.35992863110732287,0.3661869955249131,0.3724453599425033,0.3787037243600935,0.3849620887776837,0.3912204531952739,0.3974788176128641,0.4037371820304543,0.4099955464480445,0.4162539108656347,0.4225122752832249,0.4287706397008151,0.4350290041184053,0.4412873685359955]}"
"22","{""values"":[1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,2,0,1,0,2,2,3,3,5,1,3,3,2,2,2,1,4,1,1,1,2,1,0,1,3,0,0,1,2,0,2,0,1,1,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.03701702132821083,0.04337830137228593,0.049739581416361034,0.056100861460436136,0.06246214150451124,0.06882342154858634,0.07518470159266144,0.08154598163673654,0.08790726168081164,0.09426854172488675,0.10062982176896185,0.10699110181303695,0.11335238185711205,0.11971366190118715,0.12607494194526225,0.13243622198933735,0.13879750203341246,0.14515878207748756,0.15152006212156266,0.15788134216563776,0.16424262220971286,0.17060390225378796,0.17696518229786307,0.18332646234193817,0.18968774238601327,0.19604902243008837,0.20241030247416347,0.20877158251823857,0.21513286256231368,0.22149414260638878,0.22785542265046388,0.23421670269453898,0.24057798273861408,0.24693926278268918,0.2533005428267643,0.2596618228708394,0.2660231029149145,0.2723843829589896,0.2787456630030647,0.2851069430471398,0.2914682230912149,0.29782950313529,0.3041907831793651,0.3105520632234402,0.3169133432675153,0.3232746233115904,0.3296359033556655,0.3359971833997406,0.3423584634438157,0.3487197434878908,0.3550810235319659,0.361442303576041,0.3678035836201161,0.3741648636641912,0.3805261437082663,0.3868874237523414,0.3932487037964165,0.3996099838404916,0.4059712638845667,0.4123325439286418,0.4186938239727169,0.42505510401679203,0.43141638406086713,0.43777766410494223,0.44413894414901733]}"
"23","{""_type"":""histogram"",""values"":[1,1,0,0,0,0,1,0,2,1,2,1,1,2,2,3,2,0,5,2,2,5,3,2,2,4,5,0,1,3,2,0,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[0.04258641600608826,0.054591402877122164,0.06659638974815607,0.07860137661918998,0.09060636349022388,0.10261135036125779,0.1146163372322917,0.1266213241033256,0.1386263109743595,0.15063129784539342,0.16263628471642733,0.17464127158746123,0.18664625845849514,0.19865124532952905,0.21065623220056295,0.22266121907159686,0.23466620594263077,0.24667119281366467,0.2586761796846986,0.2706811665557325,0.2826861534267664,0.2946911402978003,0.3066961271688342,0.3187011140398681,0.330706100910902,0.34271108778193593,0.35471607465296984,0.36672106152400374,0.37872604839503765,0.39073103526607156,0.40273602213710546,0.41474100900813937,0.4267459958791733,0.4387509827502072,0.4507559696212411,0.462760956492275,0.4747659433633089,0.4867709302343428,0.4987759171053767,0.5107809039764106,0.5227858908474445,0.5347908777184784,0.5467958645895123,0.5588008514605463,0.5708058383315802,0.5828108252026141,0.594815812073648,0.6068207989446819,0.6188257858157158,0.6308307726867497,0.6428357595577836,0.6548407464288175,0.6668457332998514,0.6788507201708853,0.6908557070419192,0.7028606939129531,0.714865680783987,0.726870667655021,0.7388756545260549,0.7508806413970888,0.7628856282681227,0.7748906151391566,0.7868956020101905,0.7989005888812244,0.8109055757522583]}"
"24","{""_type"":""histogram"",""values"":[1,0,0,1,2,0,0,0,1,2,1,4,3,1,4,1,4,2,1,6,3,1,6,1,3,2,2,3,1,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[0.028100594878196716,0.04082208150066435,0.05354356812313199,0.06626505474559963,0.07898654136806726,0.0917080279905349,0.10442951461300254,0.11715100123547018,0.1298724878579378,0.14259397448040545,0.1553154611028731,0.16803694772534072,0.18075843434780836,0.193479920970276,0.20620140759274364,0.21892289421521127,0.2316443808376789,0.24436586746014655,0.2570873540826142,0.2698088407050818,0.28253032732754946,0.2952518139500171,0.30797330057248473,0.32069478719495237,0.33341627381742,0.34613776043988764,0.3588592470623553,0.3715807336848229,0.38430222030729055,0.3970237069297582,0.40974519355222583,0.42246668017469347,0.4351881667971611,0.44790965341962874,0.4606311400420964,0.473352626664564,0.48607411328703165,0.4987955999094993,0.5115170865319669,0.5242385731544346,0.5369600597769022,0.5496815463993698,0.5624030330218375,0.5751245196443051,0.5878460062667727,0.6005674928892404,0.613288979511708,0.6260104661341757,0.6387319527566433,0.6514534393791109,0.6641749260015786,0.6768964126240462,0.6896178992465138,0.7023393858689815,0.7150608724914491,0.7277823591139168,0.7405038457363844,0.753225332358852,0.7659468189813197,0.7786683056037873,0.7913897922262549,0.8041112788487226,0.8168327654711902,0.8295542520936579,0.8422757387161255]}"
"25","{""values"":[1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,2,3,3,0,1,3,1,2,2,1,3,2,3,3,1,3,1,4,2,3,2,1,0,0,2,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1],""_type"":""histogram"",""bins"":[0.03272112458944321,0.039871381246484816,0.047021637903526425,0.054171894560568035,0.061322151217609644,0.06847240787465125,0.07562266453169286,0.08277292118873447,0.08992317784577608,0.09707343450281769,0.1042236911598593,0.11137394781690091,0.11852420447394252,0.12567446113098413,0.13282471778802574,0.13997497444506735,0.14712523110210896,0.15427548775915056,0.16142574441619217,0.16857600107323378,0.1757262577302754,0.182876514387317,0.1900267710443586,0.19717702770140022,0.20432728435844183,0.21147754101548344,0.21862779767252505,0.22577805432956666,0.23292831098660827,0.24007856764364988,0.24722882430069149,0.2543790809577331,0.2615293376147747,0.2686795942718163,0.2758298509288579,0.28298010758589953,0.29013036424294114,0.29728062089998275,0.30443087755702436,0.31158113421406597,0.3187313908711076,0.3258816475281492,0.3330319041851908,0.3401821608422324,0.347332417499274,0.3544826741563156,0.36163293081335723,0.36878318747039884,0.37593344412744045,0.38308370078448206,0.39023395744152367,0.3973842140985653,0.4045344707556069,0.4116847274126485,0.4188349840696901,0.4259852407267317,0.4331354973837733,0.44028575404081494,0.44743601069785655,0.45458626735489815,0.46173652401193976,0.4688867806689814,0.476037037326023,0.4831872939830646,0.4903375506401062]}"
"26","{""_type"":""histogram"",""values"":[1,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,2,0,1,1,1,2,3,3,1,3,2,2,3,2,1,4,1,4,1,1,1,3,2,4,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1],""bins"":[0.032858144491910934,0.04051199817331508,0.04816585185471922,0.055819705536123365,0.06347355921752751,0.07112741289893165,0.0787812665803358,0.08643512026173994,0.09408897394314408,0.10174282762454823,0.10939668130595237,0.11705053498735651,0.12470438866876066,0.1323582423501648,0.14001209603156894,0.1476659497129731,0.15531980339437723,0.16297365707578138,0.17062751075718552,0.17828136443858966,0.1859352181199938,0.19358907180139795,0.2012429254828021,0.20889677916420624,0.21655063284561038,0.22420448652701452,0.23185834020841867,0.2395121938898228,0.24716604757122695,0.2548199012526311,0.26247375493403524,0.2701276086154394,0.27778146229684353,0.2854353159782477,0.2930891696596518,0.30074302334105596,0.3083968770224601,0.31605073070386425,0.3237045843852684,0.33135843806667253,0.3390122917480767,0.3466661454294808,0.35431999911088496,0.3619738527922891,0.36962770647369325,0.3772815601550974,0.38493541383650154,0.3925892675179057,0.4002431211993098,0.40789697488071397,0.4155508285621181,0.42320468224352226,0.4308585359249264,0.43851238960633054,0.4461662432877347,0.45382009696913883,0.461473950650543,0.4691278043319471,0.47678165801335126,0.4844355116947554,0.49208936537615955,0.4997432190575637,0.5073970727389678,0.515050926420372,0.5227047801017761]}"
"27","{""_type"":""histogram"",""values"":[2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,4,0,0,1,1,1,1,3,1,3,6,1,2,2,2,3,2,1,2,2,0,1,1,1,1,3,3,2,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1],""bins"":[0.04282500222325325,0.05004161567194387,0.057258229120634496,0.06447484256932512,0.07169145601801574,0.07890806946670637,0.08612468291539699,0.09334129636408761,0.10055790981277823,0.10777452326146886,0.11499113671015948,0.1222077501588501,0.12942436360754073,0.13664097705623135,0.14385759050492197,0.1510742039536126,0.15829081740230322,0.16550743085099384,0.17272404429968446,0.1799406577483751,0.1871572711970657,0.19437388464575633,0.20159049809444696,0.20880711154313758,0.2160237249918282,0.22324033844051883,0.23045695188920945,0.23767356533790007,0.2448901787865907,0.2521067922352813,0.25932340568397194,0.26654001913266256,0.2737566325813532,0.2809732460300438,0.28818985947873443,0.29540647292742506,0.3026230863761157,0.3098396998248063,0.3170563132734969,0.32427292672218755,0.33148954017087817,0.3387061536195688,0.3459227670682594,0.35313938051695004,0.36035599396564066,0.3675726074143313,0.3747892208630219,0.38200583431171253,0.38922244776040316,0.3964390612090938,0.4036556746577844,0.410872288106475,0.41808890155516565,0.42530551500385627,0.4325221284525469,0.4397387419012375,0.44695535534992814,0.45417196879861876,0.4613885822473094,0.468605195696,0.47582180914469063,0.48303842259338126,0.4902550360420719,0.4974716494907625,0.5046882629394531]}"
